3;savas@gmail.com;Novosadskog Sajma 1;Novi Sad;Srbija;2;4.6.2022. 14:57:21
5;pera@gmail.com;Laze kostica 2;Novi Sad;Srbija;0;1.1.2001. 12:09:24
8;nesto@gmail.com;Lasla Gala 3;Novi Sad;Srbija;0;1.1.2001. 07:00:00
9;dj@gmail.com;Danila Kiša 4;Novi Sad;Srbija;0;1.1.2001. 07:00:00
11;petar@gmail.com;Bulevar oslobodjenja 13;Novi Sad;Srbija;0;1.1.2001. 07:00:00
15;nixa@gmail.com;Hadži Ruvimova 15;Novi Sad;Srbija;0;1.1.2001. 07:00:00
16;mixa@gmail.com;Bore Prodanovica 4;Novi Sad;Srbija;0;1.1.2001. 07:00:00
17;;;;Srbija;0;1.1.2001. 07:00:00
18;sava@gmail.com;Durmitorska 5;Novi Sad;Srbija;0;1.1.2001. 07:00:00
19;;;Beograd;Srbija;0;1.1.2001. 07:00:00
20;;;Beograd;;0;1.1.2001. 07:00:00
21;;;Beograd;;0;1.1.2001. 07:00:00
